id,sid,time
10502,11507,28890
10502,11407,28899
10502,11307,28907
10502,11208,28914
10502,11109,28921
10502,11110,28928
10502,11109,32399
10502,11210,32408
10502,11311,32417
10502,11312,32426
10502,11313,32436
10502,11314,32445
10502,11315,32455
10502,11316,32467
10502,11317,32479
10502,11318,32490
10502,11319,32502
10502,11320,32513
10502,11321,32523
10502,11322,32532
10502,11223,32540
10502,11224,32548
10502,11225,32556
10502,11125,32564
10502,11025,32574
10502,10925,32597
10502,10825,32623
10502,10725,32654
10502,10625,32692
10502,10525,32724
10502,10425,32745
10502,10525,35079
10502,10625,35105
10502,10725,35129
10502,10825,35155
10502,10925,35185
10502,11025,35214
10502,11125,35254
10502,11225,35273
10502,11226,35293
10502,11327,35306
10502,11427,35326
10502,11327,35389
10502,11226,35399
10502,11225,35409
10502,11125,35425
10502,11025,35440
10502,10925,35474
10502,10825,35510
10502,10725,35539
10502,10625,35566
10502,10525,35590
10502,10425,35612
10502,10525,37949
10502,10625,37967
10502,10725,37999
10502,10825,38043
10502,10925,38095
10502,11025,38145
10502,11024,38205
10502,11023,38212
10502,11123,38219
10502,11223,38227
10502,11322,38235
10502,11422,38245
10502,11322,38609
10502,11221,38630
10502,11320,38638
10502,11219,38650
10502,11318,38658
10502,11217,38669
10502,11117,38679
10502,11018,38700
10502,10918,38999
10502,10818,39019
10502,10718,39033
10502,10618,39050
10502,10518,39068
10502,10418,39080
10502,10318,39089
10502,10218,39097
10502,10219,39105
10502,10320,39114
10502,10321,39123
10502,10322,39132
10502,10323,39139
10502,10324,39146
10502,10325,39153
10502,10425,39161
10502,10426,39169
10502,10425,44419
10502,10424,44429
10502,10423,44440
10502,10422,44452
10502,10421,44462
10502,10321,44474
10502,10220,44482
10502,10219,44490
10502,10119,44498
10502,10118,44508
10502,10117,44517
10502,10116,44527
10502,10115,44537
10502,10114,44547
10502,10113,44557
10502,10112,44567
10502,10111,44577
10502,10110,44588
10502,20111,44597
10502,20110,44613
10502,20210,44623
10502,20209,44630
10502,20309,44639
10502,20409,44646
10502,20509,44654
10502,20510,44662
10502,20511,44674
10502,20510,44739
10502,20509,44749
10502,20608,44757
10502,20707,44765
10502,20806,44772
10502,20805,44786
10502,20705,44812
10502,20805,45469
10502,20806,45489
10502,20707,45496
10502,20608,45503
10502,20509,45511
10502,20510,45519
10502,20511,45533
10502,20510,45729
10502,20509,45741
10502,20409,45752
10502,20310,45760
10502,20211,45767
10502,20210,45774
10502,20110,45781
10502,20111,45788
10502,10110,45797
10502,10111,45813
10502,10211,45820
10502,10310,45827
10502,10409,45834
10502,10509,45842
10502,10609,45850
10502,10709,45859
10502,10809,45868
10502,10909,45877
10502,11009,45885
10502,11109,45893
10502,11110,45902
10502,11011,45912
10502,11110,46019
10502,11109,46030
10502,11009,46038
10502,11008,46046
10502,11007,46054
10502,11108,46579
10502,11109,46587
10502,11110,46594
10502,11010,46606
10502,11110,52829
10502,11109,52839
10502,11009,52847
10502,10909,52855
10502,10808,52862
10502,10709,52869
10502,10609,52877
10502,10509,52884
10502,10510,52892
10502,10509,52939
10502,10609,52947
10502,10708,52954
10502,10807,52962
10502,10906,52969
10502,11006,52977
10502,11106,52984
10502,11006,53059
10502,10906,53066
10502,10806,53073
10502,10706,53081
10502,10606,53089
10502,10506,53097
10502,10407,53104
10502,10406,53169
10502,10506,53177
10502,10606,53184
10502,10706,53192
10502,10806,53200
10502,10906,53208
10502,10905,53215
10502,10906,56399
10502,11007,56769
10502,11008,56777
10502,11109,56787
10502,11110,56797
10502,11109,60759
10502,11009,60767
10502,10909,60775
10502,10809,60783
10502,10709,60791
10502,10609,60799
10502,10509,60807
10502,10510,60815
10502,10511,60822
10502,10510,60879
10502,10509,61059
10502,10408,61066
10502,10307,61073
10502,10306,61080
10502,10407,61269
10502,10508,61276
10502,10607,61284
10502,10708,61292
10502,10809,61299
10502,10909,61307
10502,11009,61314
10502,11109,61321
10502,11210,61328
10502,11211,61335
10502,11212,61342
10502,11313,61349
10502,11314,61356
10502,11315,61363
10502,11216,61370
10502,11116,61377
10502,11015,61384
10502,10915,61393
10502,10815,61403
10502,10716,61411
10502,10617,61418
10502,10517,61425
10502,10417,61433
10502,10517,61449
10502,10418,61457
10502,10518,62999
10502,10618,63007
10502,10617,63014
10502,10516,63021
10502,10415,63028
10502,10316,63049
10502,10217,63056
10502,10218,63063
10502,10219,63070
10502,10119,63077
10502,10019,63085
