15891,11507,08:25:10
15891,11407,08:25:19
15891,11307,08:25:29
15891,11207,08:25:39
15891,11208,08:25:48
15891,11109,08:25:57
15891,11110,08:26:06
15891,11111,08:26:25
15891,11110,08:59:59
15891,11109,09:00:15
15891,11009,09:00:31
15891,10908,09:00:41
15891,10809,09:00:49
15891,10709,09:00:57
15891,10609,09:01:05
15891,10509,09:01:14
15891,10409,09:01:22
15891,10310,09:01:30
15891,10311,09:01:38
15891,10211,09:01:45
15891,10112,09:01:52
15891,10113,09:01:59
15891,10114,09:02:07
15891,10115,09:02:14
15891,10116,09:02:21
15891,10117,09:02:28
15891,10118,09:02:36
15891,10119,09:02:44
15891,10219,09:02:52
15891,10220,09:03:00
15891,10221,09:03:08
15891,10222,09:03:15
15891,10322,09:45:39
15891,10321,09:45:46
15891,10421,09:45:54
15891,10420,09:46:10
15891,10419,10:31:59
15891,10319,10:32:07
15891,10219,10:32:15
15891,10119,10:32:23
15891,10118,10:32:31
15891,10117,10:32:39
15891,10116,10:32:47
15891,10115,10:32:55
15891,10114,10:33:03
15891,10113,10:33:11
15891,10112,10:33:18
15891,10211,10:33:25
15891,10310,10:33:33
15891,10309,10:33:41
15891,10409,10:33:49
15891,10410,10:33:59
15891,10409,10:40:49
15891,10408,10:41:00
15891,10407,10:41:10
15891,10506,10:41:20
15891,10407,10:49:59
15891,10308,10:50:11
15891,10209,10:50:22
15891,10210,10:50:32
15891,10211,10:50:39
15891,10112,10:50:47
15891,10113,10:50:56
15891,10114,10:51:05
15891,10115,10:51:14
15891,10116,10:51:23
15891,10117,10:51:32
15891,10118,10:51:41
15891,10119,10:51:50
15891,10219,10:52:00
15891,10220,10:52:10
15891,10321,10:52:18
15891,10421,10:52:27
15891,10422,10:52:38
15891,10423,10:52:49
15891,10424,10:52:59
15891,10423,12:20:09
15891,10422,12:20:22
15891,10421,12:20:33
15891,10420,12:20:47
15891,10419,12:21:00
15891,10319,12:21:07
15891,10219,12:21:14
15891,10119,12:21:23
15891,10118,12:21:33
15891,10117,12:21:43
15891,10116,12:21:53
15891,10115,12:22:03
15891,10114,12:22:13
15891,10113,12:22:23
15891,10112,12:22:33
15891,10111,12:22:43
15891,10110,12:22:52
15891,20111,12:23:01
15891,20110,12:23:17
