id,sid,time
11874,11507,31580
11874,11407,31589
11874,11307,31597
11874,11208,31606
11874,11109,31614
11874,11110,31621
11874,11111,31633
11874,11110,32429
11874,11109,32445
11874,11009,32470
11874,10909,32479
11874,10809,32487
11874,10709,32495
11874,10609,32503
11874,10509,32511
11874,10409,32518
11874,10310,32526
11874,10211,32534
11874,10112,32542
11874,10113,32549
11874,10114,32556
11874,10115,32563
11874,10116,32571
11874,10117,32578
11874,10118,32585
11874,10119,32592
11874,10219,32600
11874,10319,32608
11874,10419,32616
11874,10420,32623
11874,10419,34909
11874,10319,34916
11874,10219,34923
11874,10119,34930
11874,10118,34938
11874,10117,34945
11874,10116,34952
11874,10115,34959
11874,10114,34966
11874,10113,34973
11874,10112,34980
11874,10211,34987
11874,10311,34994
11874,10310,35001
11874,10409,35008
11874,10410,35016
11874,10409,35099
11874,10310,35107
11874,10211,35114
11874,10112,35121
11874,10113,35128
11874,10114,35136
11874,10115,35143
11874,10116,35150
11874,10117,35157
11874,10118,35164
11874,10119,35172
11874,10219,35181
11874,10320,35189
11874,10321,35196
11874,10421,35204
11874,10521,37799
11874,10621,37825
11874,10721,37851
11874,10821,37884
11874,10921,37911
11874,11021,37951
11874,11121,37996
11874,11221,38024
11874,11220,38047
11874,11219,38059
11874,11218,38070
11874,11317,38079
11874,11316,38091
11874,11315,38102
11874,11214,38111
11874,11213,38119
11874,11212,38127
11874,11211,38135
11874,11210,38143
11874,11109,38153
11874,11110,38162
11874,11109,38179
11874,11009,38190
11874,10908,38201
11874,11009,38669
11874,11109,38680
11874,11110,38689
11874,11111,38700
11874,11110,38999
11874,11109,39017
11874,11210,39042
11874,11211,39058
11874,11212,39068
11874,11312,39077
11874,11313,39090
11874,11314,39101
11874,11315,39113
11874,11316,39126
11874,11317,39141
11874,11418,39156
11874,11419,39164
11874,11319,39173
11874,11320,39193
11874,11321,39202
11874,11222,39210
11874,11223,39219
11874,11224,39228
11874,11225,39237
11874,11125,39247
11874,11025,39256
11874,10925,39268
11874,10825,39277
11874,10725,39289
11874,10625,39300
11874,10525,39310
11874,10425,39321
11874,10325,44149
11874,10324,44156
11874,10323,44163
11874,10322,44170
11874,10321,44177
11874,10320,44186
11874,10319,44194
11874,10219,44201
11874,10119,44209
11874,10118,44217
11874,10117,44225
11874,10116,44233
11874,10115,44242
11874,10114,44250
11874,10113,44258
11874,10112,44266
11874,10111,44274
11874,10110,44282
11874,20111,44291
11874,20110,44307
11874,20111,44315
11874,10110,44324
11874,10111,44340
11874,10112,44347
11874,10113,44354
11874,10114,44362
11874,10115,44370
11874,10116,44377
11874,10117,44385
11874,10118,44393
11874,10119,44401
11874,10019,44409
